date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:06	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202024%2017:02:00%20GMT	https://go.hotmart.com/Y96662712X?ap=5c7c	C:/My%20Web%20Sites/holistic/go.hotmart.com/Y96662712X.05111.delayed	(from )
14:02:08	129/129	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Nov%202024%2017:02:01%20GMT	https://saberconscienteinstituto.com/robots.txt		(from )
14:02:09	180373/180373	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2017:02:01%20GMT	https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/curso-de-terapias-holisticas/index1644.html	(from )
14:02:09	4147/4147	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:20:03%20GMT	https://saberconscienteinstituto.com/wp-content/themes/twentynineteen/print.css?ver=3.0	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/themes/twentynineteen/print6aec.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:09	228204/228204	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:20:03%20GMT	https://saberconscienteinstituto.com/wp-content/themes/twentynineteen/style.css?ver=3.0	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/themes/twentynineteen/style6aec.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:09	20021/20021	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min444a.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:09	60575/60575	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:16%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.6	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/frontend.minf34d.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:10	16471/16471	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:17%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:10	10260/10260	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:16%20GMT	https://saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.6	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.minf34d.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:10	1806/1806	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:18:55%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/elementor/css/post-14.css?ver=1731532735	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/elementor/css/post-14aa25.css	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
